70年,非共有,61325,有,无抵押,已上传房本照片,普通住宅,未满两年,南,集中供暖,2019-01-05,2室2厅1厨1卫,平层,板塔结合,2006年建/板塔结合,商品房,顶层 (共20层),122.3㎡,晶都国际,朝阳酒仙桥,2018-09-20,两梯三户,精装,750
70年,非共有,59983,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2019-01-04,2室1厅1厨1卫,平层,板楼,2004年建/板楼,商品房,中楼层 (共5层),93.36㎡,郁金香舍,亦庄开发区亦庄,2005-06-22,一梯两户,精装,560
70年,非共有,69953,有,有抵押 170万元 客户偿还,已上传房本照片,普通住宅,满两年,南,集中供暖,2018-10-13,1室0厅1厨1卫,平层,板楼,2006年建/板楼,商品房,中楼层 (共18层),56.61㎡,万年花城三期,丰台玉泉营,2016-09-20,一梯三户,精装,396
70年,非共有,57124,无,无抵押,已上传房本照片,普通住宅,满两年,东 西,集中供暖,2018-10-05,2室1厅1厨1卫,平层,板楼,1992年建/板楼,商品房,中楼层 (共6层),59.52㎡,东大街35号院,丰台北大地,2016-05-10,一梯两户,简装,340
70年,非共有,41347,有,有抵押 240万元 客户偿还,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-12-14,2室2厅1厨1卫,平层,板塔结合,2012年建/板塔结合,商品房,高楼层 (共18层),84.65㎡,三合北巷,大兴黄村中,2014-12-22,一梯三户,简装,350
70年,非共有,50843,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-09-25,2室1厅1厨1卫,平层,板楼,2000年建/板楼,已购公房,中楼层 (共6层),74.74㎡,富丰路8号院,丰台科技园区,2001-05-15,一梯三户,简装,380
70年,非共有,74866,有,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-09-30,2室1厅1厨1卫,平层,塔楼,2004年建/塔楼,私产,高楼层 (共28层),68.79㎡,易构空间,朝阳大望路,2005-08-18,四梯十六户,简装,515
70年,非共有,26741,无,有抵押 120万元 建设银行 客户偿还,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-11-16,3室2厅1厨1卫,跃层,板塔结合,1995年建/板塔结合,商品房,顶层 (共6层),102.84㎡,行宫园四里,房山良乡,2016-10-20,一梯两户,精装,275
70年,共有,54166,无,无抵押,已上传房本照片,普通住宅,未满两年,南 北,集中供暖,2018-09-25,2室1厅1厨1卫,平层,板楼,1988年建/板楼,已购公房,底层 (共6层),53.17㎡,金星小区,朝阳定福庄,2018-12-25,一梯两户,简装,288
70年,非共有,89975,无,无抵押,已上传房本照片,普通住宅,满五年,东,集中供暖,2018-09-23,2室1厅1厨1卫,平层,板楼,1980年建/板楼,已购公房,顶层 (共6层),50.57㎡,三义里,西城马连道,2007-01-15,一梯三户,简装,455
70年,非共有,85483,有,无抵押,已上传房本照片,普通住宅,满五年,东北,集中供暖,2018-09-19,3室1厅1厨1卫,平层,塔楼,1986年建/塔楼,已购公房,高楼层 (共14层),67.85㎡,三义西里,西城马连道,2002-02-21,一梯七户,简装,580
70年,非共有,83028,无,无抵押,已上传房本照片,普通住宅,未满两年,南 北,集中供暖,2018-09-20,2室1厅1厨1卫,平层,板楼,1985年建/板楼,商品房,中楼层 (共5层),57.21㎡,三义里,西城马连道,2018-09-11,一梯三户,简装,475
70年,共有,63273,有,暂无数据,已上传房本照片,普通住宅,满五年,西,集中供暖,2018-09-20,1室1厅1厨1卫,平层,塔楼,2007年建/塔楼,商品房,高楼层 (共18层),68.75㎡,金泰先锋南区,朝阳百子湾,2009-09-10,两梯七户,精装,435
70年,非共有,78917,有,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-09-19,2室2厅1厨1卫,平层,板塔结合,2009年建/板塔结合,商品房,低楼层 (共25层),93.77㎡,北纬40度二期,朝阳望京,2012-08-03,两梯五户,精装,740
未知,非共有,39696,暂无数据,无抵押,已上传房本照片,普通住宅,满五年,南 北,暂无数据,2018-09-16,2室1厅1厨1卫,平层,板塔结合,2011年建/板塔结合,商品房,中楼层 (共11层),93.21㎡,北京苏活四区,顺义顺义其它,2013-12-06,一梯三户,精装,370
70年,非共有,66475,无,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-09-17,2室1厅1厨1卫,平层,板楼,1980年建/板楼,已购公房,高楼层 (共6层),65.89㎡,团结湖路,朝阳团结湖,1997-11-30,一梯三户,简装,438
70年,共有,69000,有,无抵押,已上传房本照片,普通住宅,未满两年,东南 北,集中供暖,2018-09-09,3室1厅1厨1卫,平层,塔楼,1990年建/塔楼,商品房,顶层 (共24层),80㎡,太平桥小区,丰台太平桥,2018-09-18,两梯四户,其他,552
70年,非共有,34122,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-09-05,3室2厅1厨1卫,平层,板楼,2000年建/板楼,已购公房,高楼层 (共6层),104.04㎡,黑山东街,门头沟大峪,2006-11-13,一梯三户,简装,355
70年,共有,37979,无,有抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-09-02,2室1厅1厨1卫,平层,板楼,1993年建/板楼,商品房,高楼层 (共6层),65.3㎡,西关北路,昌平西关环岛,2009-07-07,一梯三户,其他,248
70年,共有,70983,有,有抵押 30万元,已上传房本照片,普通住宅,满五年,西北,集中供暖,2018-09-02,2室1厅1厨1卫,平层,塔楼,2008年建/塔楼,商品房,低楼层 (共27层),88.05㎡,万年花城四期,丰台玉泉营,2009-08-11,三梯十户,精装,625
70年,非共有,52300,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-28,2室1厅1厨1卫,平层,板楼,2009年建/板楼,商品房,低楼层 (共6层),96.56㎡,和义西里二区,丰台和义,2013-12-13,一梯两户,精装,505
70年,非共有,67528,有,无抵押,已上传房本照片,普通住宅,满五年,南 西北,集中供暖,2018-08-28,3室2厅1厨3卫,平层,塔楼,2005年建/塔楼,商品房,中楼层 (共29层),204.36㎡,怡海花园恒泰园,丰台科技园区,2008-01-09,四梯六户,精装,1380
70年,共有,62421,暂无数据,有抵押 400万元 工商银行 业主自还,已上传房本照片,普通住宅,未满两年,南 北,集中供暖,2018-09-05,3室2厅1厨2卫,平层,板楼,2016年建/板楼,商品房,低楼层 (共17层),132.97㎡,中冶德贤公馆,大兴旧宫,2018-01-15,一梯两户,精装,830
70年,非共有,42778,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-26,2室1厅1厨1卫,平层,板楼,1998年建/板楼,商品房,低楼层 (共6层),70.13㎡,晓月苑二里,丰台卢沟桥,2007-12-19,一梯两户,精装,300
70年,非共有,50980,有,无抵押,已上传房本照片,普通住宅,满五年,西,集中供暖,2018-08-25,1室1厅1厨1卫,平层,塔楼,1998年建/塔楼,商品房,中楼层 (共18层),56.69㎡,马家堡67号院,丰台角门,2011-08-12,两梯十四户,其他,289
70年,非共有,54859,有,无抵押,已上传房本照片,普通住宅,未满两年,西,自供暖,2018-08-24,1室1厅1厨1卫,平层,板楼,2005年建/板楼,商品房,高楼层 (共29层),63.8㎡,三环新城7号院,丰台玉泉营,2017-03-27,两梯六户,简装,350
70年,非共有,49747,有,有抵押 19万元 招商银行,已上传房本照片,公寓,满五年,西南,集中供暖,2018-08-13,2室1厅1厨1卫,平层,板塔结合,2007年建/板塔结合,商品房,低楼层 (共21层),116.19㎡,大成国际,朝阳百子湾,2008-11-04,四梯二十六户,精装,578
70年,共有,51931,无,有抵押 30万元 北京 客户偿还,已上传房本照片,普通住宅,满五年,西北,集中供暖,2018-08-18,2室1厅1厨1卫,平层,板楼,1999年建/板楼,商品房,顶层 (共6层),68.36㎡,建欣苑四里,丰台大红门,2013-01-16,一梯两户,精装,355
70年,非共有,70401,有,无抵押,已上传房本照片,普通住宅,满五年,西,集中供暖,2018-08-15,1室1厅1厨1卫,平层,塔楼,2005年建/塔楼,商品房,高楼层 (共25层),65.34㎡,远洋山水,石景山鲁谷,2006-10-05,两梯九户,精装,460
70年,共有,46380,有,无抵押,已上传房本照片,普通住宅,未满两年,西南,集中供暖,2018-08-22,2室1厅1厨1卫,平层,塔楼,1994年建/塔楼,已购公房,中楼层 (共16层),72.23㎡,妇联小区,朝阳定福庄,2018-08-21,两梯十户,简装,335
70年,共有,59383,无,无抵押,已上传房本照片,普通住宅,未满两年,南 北,集中供暖,2018-08-13,2室1厅1厨1卫,平层,板楼,1993年建/板楼,已购公房,顶层 (共6层),58.94㎡,华威北里,朝阳潘家园,2018-08-24,一梯两户,毛坯,350
70年,共有,44840,无,有抵押 建设银行 业主自还,已上传房本照片,普通住宅,满五年,南 北,暂无数据,2018-08-12,2室1厅1厨1卫,平层,板楼,1995年建/板楼,商品房,顶层 (共6层),70.92㎡,圣和巷小区,大兴枣园,2013-12-02,一梯两户,简装,318
未知,非共有,39847,暂无数据,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-13,3室1厅1厨1卫,平层,板楼,未知年建/板楼,已购公房,底层 (共6层),65.25㎡,拱辰大街29号楼,房山良乡,2004-09-21,一梯两户,精装,260
70年,非共有,58381,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-08-11,2室2厅1厨1卫,平层,板楼,2009年建/板楼,商品房,低楼层 (共22层),91.64㎡,富力又一城C区,朝阳豆各庄,2013-01-30,两梯四户,精装,535
70年,非共有,63563,有,有抵押 80万元 客户偿还,已上传房本照片,普通住宅,满五年,西,自供暖,2018-08-08,2室2厅1厨2卫,平层,塔楼,2008年建/塔楼,商品房,高楼层 (共32层),130.58㎡,天畅园,朝阳奥林匹克公园,2009-12-08,四梯九户,精装,830
70年,非共有,36463,无,无抵押,已上传房本照片,普通住宅,满五年,南 西 北,集中供暖,2018-08-08,3室2厅1厨1卫,平层,板楼,1999年建/板楼,商品房,中楼层 (共6层),95.99㎡,月华新村,房山良乡,2008-05-28,一梯两户,精装,350
70年,共有,95265,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2017-12-21,3室2厅1厨2卫,平层,板楼,2006年建/板楼,商品房,低楼层 (共9层),180.55㎡,阳光上东,朝阳酒仙桥,2008-10-13,一梯两户,精装,1720
70年,共有,136465,暂无数据,有抵押 900万元,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-01-03,3室2厅1厨2卫,平层,板楼,2015年建/板楼,商品房,中楼层 (共6层),153.74㎡,京投银泰琨御府,海淀四季青,2016-11-29,一梯两户,精装,2098
70年,非共有,66009,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2017-12-14,3室1厅1厨2卫,平层,板塔结合,2008年建/板塔结合,商品房,中楼层 (共22层),143.92㎡,珠江罗马嘉园东区,朝阳朝青,2011-11-21,三梯六户,精装,950
70年,非共有,101333,有,无抵押,已上传房本照片,普通住宅,满五年,西南 北,集中供暖,2017-11-29,3室1厅1厨2卫,平层,塔楼,2003年建/塔楼,已购公房,低楼层 (共18层),122.37㎡,清芷园,西城右安门内,2013-04-15,三梯十二户,毛坯,1240
70年,非共有,34526,有,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2017-11-14,2室1厅1厨1卫,平层,塔楼,2003年建/塔楼,私产,高楼层 (共24层),97.03㎡,新悦家园,昌平鼓楼大街,2004-08-23,两梯六户,简装,335
70年,非共有,84965,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2017-11-24,4室2厅1厨3卫,平层,板塔结合,2004年建/板塔结合,私产,中楼层 (共26层),251.87㎡,世茂奥临花园,朝阳奥林匹克公园,2008-04-08,两梯两户,精装,2140
70年,非共有,86911,无,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2017-10-17,2室1厅1厨1卫,平层,板楼,1999年建/板楼,私产,中楼层 (共6层),65.47㎡,东堂子胡同,东城建国门内,2005-11-03,一梯三户,简装,569
70年,非共有,55416,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2017-10-30,3室2厅1厨2卫,平层,板楼,2002年建/板楼,一类经济适用房,低楼层 (共14层),166.02㎡,丰益花园东区,丰台丽泽,2004-11-05,一梯两户,简装,920
70年,非共有,68803,有,有抵押 120万元 北京银行 客户偿还,已上传房本照片,普通住宅,满两年,南,集中供暖,2017-09-20,1室1厅1厨1卫,平层,板塔结合,2003年建/板塔结合,商品房,底层 (共20层),59.3㎡,后现代城A区,朝阳大望路,2015-08-11,两梯六户,精装,408
70年,非共有,46187,有,有抵押 110万元 建设银行 业主自还,已上传房本照片,普通住宅,满两年,西北,集中供暖,2017-09-22,3室1厅1厨1卫,平层,塔楼,2001年建/塔楼,商品房,低楼层 (共24层),113.67㎡,南极星,丰台科技园区,2015-03-09,三梯十户,简装,525
70年,非共有,75019,有,有抵押 400万元 招商银行 客户偿还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2017-09-18,3室2厅1厨2卫,平层,板楼,2003年建/板楼,商品房,中楼层 (共5层),187.42㎡,蓝筹名座,朝阳朝阳门外,2012-08-29,一梯两户,简装,1406
70年,共有,61344,有,有抵押 160万元 客户偿还,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-11-17,2室1厅1厨1卫,平层,板塔结合,2006年建/板塔结合,商品房,低楼层 (共26层),105.96㎡,远洋山水,石景山鲁谷,2012-11-09,两梯两户,精装,650
未知,非共有,45085,暂无数据,有抵押 15万元 中国银行 业主自还,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-11-03,2室1厅1厨1卫,平层,板楼,2011年建/板楼,限价商品房,低楼层 (共15层),74.97㎡,远洋一方润园6号院,朝阳双桥,2012-11-05,一梯两户,精装,338
70年,非共有,52734,暂无数据,无抵押,已上传房本照片,普通住宅,未满两年,东 南 北,集中供暖,2018-08-01,3室1厅1厨1卫,平层,板楼,1958年建/板楼,已购公房,底层 (共4层),92.92㎡,红庙北里,朝阳红庙,2018-03-28,一梯两户,简装,490
70年,非共有,53900,暂无数据,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-07-29,1室1厅1厨1卫,平层,板楼,2011年建/板楼,限价商品房,低楼层 (共9层),63.08㎡,领秀慧谷A区,昌平回龙观,2012-10-19,一梯三户,精装,340
70年,非共有,48849,无,暂无数据,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2019-01-07,2室1厅1厨1卫,平层,板楼,2002年建/板楼,商品房,中楼层 (共11层),85.98㎡,华昱家园,大兴黄村中,2013-07-09,一梯两户,其他,420
70年,非共有,48420,有,有抵押 293万元 国美小额贷款公司 业主自还,已上传房本照片,普通住宅,满五年,东南 西北,自供暖,2019-01-03,2室1厅1厨1卫,平层,塔楼,2003年建/塔楼,二类经济适用房,高楼层 (共21层),78.48㎡,万年花城回迁,丰台玉泉营,2012-08-02,三梯十二户,毛坯,380
70年,非共有,70257,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2019-01-04,4室2厅1厨2卫,平层,板楼,2011年建/板楼,商品房,低楼层 (共6层),165.11㎡,首开常青藤二期,朝阳东坝,2013-03-04,一梯两户,简装,1160
70年,非共有,118006,有,暂无数据,已上传房本照片,公寓,满两年,东南,集中供暖,2019-01-03,2室1厅1厨2卫,平层,塔楼,2003年建/塔楼,商品房,中楼层 (共32层),131.35㎡,新城国际,朝阳东大桥,2015-12-21,三梯六户,其他,1550
70年,非共有,88705,有,有抵押 85万元 业主自还,已上传房本照片,普通住宅,满五年,西南 东北,集中供暖,2019-01-02,3室2厅1厨2卫,平层,塔楼,2009年建/塔楼,商品房,低楼层 (共24层),152.19㎡,丽水莲花,西城广安门,2010-11-03,两梯四户,其他,1350
70年,非共有,39683,有,有抵押 35万元 建设银行 客户偿还,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2019-01-03,2室1厅1厨1卫,平层,板楼,2011年建/板楼,商品房,中楼层 (共11层),86.94㎡,翠林漫步,房山长阳,2014-02-21,一梯两户,精装,345
70年,共有,81567,有,有抵押,已上传房本照片,普通住宅,满两年,南 西 北,自供暖,2018-07-25,3室1厅1厨1卫,平层,板楼,2014年建/板楼,商品房,高楼层 (共27层),98.08㎡,华贸城,朝阳北苑,2016-05-18,两梯五户,精装,800
70年,非共有,98086,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-12-03,2室2厅1厨1卫,平层,板楼,1996年建/板楼,已购公房,高楼层 (共6层),63.21㎡,马连道中里,西城马连道,2000-11-30,一梯三户,其他,620
70年,非共有,58051,有,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-11-25,2室1厅1厨1卫,平层,塔楼,2004年建/塔楼,一类经济适用房,低楼层 (共22层),91.3㎡,正阳小区,丰台北大地,2005-12-12,两梯十二户,简装,530
70年,非共有,79311,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-12-28,3室1厅1厨1卫,平层,板楼,1988年建/板楼,已购公房,底层 (共7层),75.4㎡,如意里,西城新街口,2000-02-16,一梯三户,简装,598
70年,非共有,45139,有,有抵押 20万元 北京农商银行 业主自还,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-12-02,2室1厅1厨1卫,平层,板塔结合,2007年建/板塔结合,商品房,高楼层 (共22层),110.77㎡,晓月新苑,丰台卢沟桥,2008-05-20,两梯四户,精装,500
70年,非共有,47497,有,无抵押,已上传房本照片,普通住宅,满五年,东,集中供暖,2018-12-15,2室1厅1厨1卫,平层,塔楼,2007年建/塔楼,二类经济适用房,低楼层 (共28层),85.27㎡,新华街三里,丰台看丹桥,2013-10-12,三梯十二户,简装,405
70年,非共有,31690,无,无抵押,已上传房本照片,普通住宅,满五年,东北,集中供暖,2018-11-24,3室1厅1厨2卫,平层,板楼,2003年建/板楼,商品房,高楼层 (共7层),123.07㎡,东关北里小区,昌平东关,2004-08-09,一梯三户,精装,390
70年,非共有,64675,有,有抵押 350万元 晋城银行 客户偿还,已上传房本照片,普通住宅,满五年,西北,自供暖,2018-12-04,2室1厅1厨1卫,平层,塔楼,2004年建/塔楼,商品房,高楼层 (共24层),89.68㎡,橙色年代,海淀六里桥,2010-11-17,两梯十二户,简装,580
70年,非共有,74956,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-11-18,2室2厅1厨1卫,平层,暂无数据,2006年建/暂无数据,商品房,中楼层 (共6层),106.73㎡,前泥洼小区,丰台丽泽,2008-06-13,一梯两户,精装,800
70年,非共有,69729,有,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-11-16,2室1厅1厨2卫,平层,板楼,2005年建/板楼,商品房,中楼层 (共16层),100.39㎡,万年花城一期,丰台玉泉营,2006-08-09,两梯四户,精装,700
70年,非共有,49849,无,暂无数据,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-11-17,1室1厅1厨1卫,平层,板楼,2008年建/板楼,商品房,中楼层 (共6层),69.41㎡,鑫融皓月,丰台卢沟桥,2009-11-10,一梯两户,其他,346
70年,共有,66035,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-11-06,2室1厅1厨0卫,平层,板楼,1990年建/板楼,商品房,顶层 (共6层),59.06㎡,太平桥小区,丰台太平桥,2012-07-12,一梯两户,精装,390
70年,非共有,57559,有,有抵押 80万元 银行 客户偿还,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-10-30,3室1厅1厨2卫,平层,塔楼,2002年建/塔楼,商品房,高楼层 (共30层),144.2㎡,怡海花园富润园,丰台科技园区,2009-07-16,三梯十户,精装,830
未知,非共有,49112,暂无数据,有抵押 业主自还,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-11-09,2室1厅1厨1卫,平层,板塔结合,2011年建/板塔结合,限价商品房,低楼层 (共21层),85.52㎡,金隅景和园,朝阳东坝,2012-05-22,一梯七户,精装,420
70年,非共有,42541,暂无数据,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-10-31,2室1厅1厨1卫,平层,板楼,1990年建/板楼,商品房,顶层 (共6层),68.64㎡,丰西北里,丰台五里店,2010-01-19,一梯两户,简装,292
70年,共有,58998,有,有抵押 业主自还,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-11-05,2室1厅1厨1卫,平层,塔楼,2000年建/塔楼,商品房,中楼层 (共31层),81.36㎡,宝隆温泉公寓,丰台科技园区,2009-06-26,三梯二十二户,简装,480
70年,非共有,51107,无,有抵押 50万元 建设银行 客户偿还,已上传房本照片,普通住宅,满五年,西,自供暖,2018-11-03,1室1厅1厨1卫,平层,板楼,2004年建/板楼,商品房,顶层 (共6层),58.31㎡,朝阳新城二区,朝阳东坝,2012-07-31,一梯三户,精装,298
70年,共有,41704,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-10-28,2室1厅1厨1卫,平层,板楼,2003年建/板楼,一类经济适用房,顶层 (共6层),100.71㎡,朝阳新城三区,朝阳东坝,2010-01-23,一梯两户,精装,420
70年,非共有,90829,有,有抵押 10万元 当时公积金卖的房子房 业主自还,已上传房本照片,普通住宅,满五年,南 西,集中供暖,2018-10-29,2室1厅1厨1卫,平层,塔楼,2006年建/塔楼,商品房,低楼层 (共28层),89.73㎡,丽水莲花,西城广安门,2009-11-27,三梯十户,简装,815
70年,非共有,67132,暂无数据,无抵押,已上传房本照片,普通住宅,未满两年,南 北,集中供暖,2018-10-25,3室1厅1厨2卫,平层,板楼,2014年建/板楼,商品房,中楼层 (共21层),113.21㎡,京投银泰万科西华府,丰台科技园区,2018-02-06,一梯三户,精装,760
70年,共有,70248,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-10-21,2室1厅1厨1卫,平层,板楼,1989年建/板楼,私产,中楼层 (共6层),60.5㎡,太平桥东里,丰台太平桥,2004-11-17,一梯三户,简装,425
70年,共有,79851,有,无抵押,已上传房本照片,普通住宅,未满两年,南,集中供暖,2018-10-23,1室1厅1厨1卫,平层,板楼,2008年建/板楼,商品房,高楼层 (共20层),75.14㎡,首开知语城,朝阳望京,2018-11-01,两梯三户,精装,600
70年,非共有,116811,有,暂无数据,已上传房本照片,普通住宅,未满两年,南 北,集中供暖,2018-10-20,4室3厅2厨6卫,平层,塔楼,2011年建/塔楼,商品房,中楼层 (共27层),453.64㎡,霄云路8号,朝阳燕莎,2017-10-30,三梯两户,其他,5299
70年,非共有,53909,有,有抵押 700万元 客户偿还,已上传房本照片,普通住宅,未满两年,东南,集中供暖,2018-10-17,3室2厅1厨2卫,平层,塔楼,2001年建/塔楼,商品房,低楼层 (共30层),204.05㎡,鹏润家园,丰台菜户营,2018-07-18,三梯八户,简装,1100
70年,非共有,39687,无,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-10-14,2室1厅1厨1卫,平层,板楼,1995年建/板楼,已购公房,顶层 (共6层),67.53㎡,月季园东里,门头沟滨河西区,2003-06-12,一梯两户,简装,268
70年,非共有,62709,有,无抵押,已上传房本照片,普通住宅,未满两年,南 西,自供暖,2018-10-14,2室1厅1厨1卫,平层,板楼,2014年建/板楼,商品房,中楼层 (共18层),98.87㎡,华润公元九里,大兴高米店南,2017-02-21,两梯四户,精装,620
70年,非共有,63403,有,无抵押,已上传房本照片,普通住宅,满五年,西北 东北,集中供暖,2018-10-14,1室0厅1厨1卫,平层,塔楼,2008年建/塔楼,商品房,中楼层 (共26层),37.38㎡,设计师广场,丰台科技园区,2012-10-24,三梯十五户,精装,237
70年,非共有,57885,有,有抵押 60万元 业主自还,已上传房本照片,普通住宅,满五年,北,自供暖,2018-10-13,1室1厅1厨1卫,平层,板塔结合,2006年建/板塔结合,商品房,低楼层 (共15层),57.01㎡,四方景园四区,丰台成寿寺,2013-12-06,一梯四户,简装,330
70年,共有,53366,无,有抵押 115万元 北京银行 金融公司垫资,已上传房本照片,普通住宅,未满两年,南 北,集中供暖,2018-10-13,2室1厅1厨1卫,平层,板楼,1985年建/板楼,商品房,底层 (共5层),58.09㎡,管庄东里,朝阳管庄,2017-03-14,一梯两户,精装,310
70年,非共有,62277,有,无抵押,已上传房本照片,普通住宅,满五年,东,集中供暖,2018-10-07,1室1厅1厨1卫,平层,板塔结合,2006年建/板塔结合,商品房,低楼层 (共21层),58.61㎡,酷特区,朝阳石佛营,2006-12-25,两梯七户,简装,365
70年,非共有,68124,无,无抵押,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-10-07,1室1厅1厨1卫,平层,板楼,1983年建/板楼,商品房,中楼层 (共6层),38.9㎡,北大街南里,丰台北大地,2014-09-25,一梯两户,简装,265
70年,非共有,43000,无,无抵押,已上传房本照片,普通住宅,满五年,东,集中供暖,2018-10-10,2室1厅1厨1卫,平层,板楼,1994年建/板楼,已购公房,顶层 (共6层),74.42㎡,康静里,朝阳东坝,2013-04-02,一梯三十五户,简装,320
70年,非共有,55126,有,无抵押,已上传房本照片,普通住宅,未满两年,南 北,自供暖,2018-10-09,4室2厅1厨3卫,跃层,板楼,2013年建/板楼,商品房,底层 (共5层),264.85㎡,首开常青藤三期,朝阳东坝,2017-08-10,一梯两户,精装,1460
70年,非共有,84458,有,有抵押 270万元 中信银行 客户偿还,已上传房本照片,普通住宅,满两年,西南,集中供暖,2018-05-03,2室1厅1厨1卫,平层,板楼,2013年建/板楼,商品房,低楼层 (共18层),97.09㎡,亚奥金茂悦,朝阳北苑,2014-11-17,两梯四户,精装,820
70年,共有,37581,无,无抵押,已上传房本照片,普通住宅,未满两年,南 北,集中供暖,2018-10-07,2室1厅1厨1卫,平层,板楼,1994年建/板楼,已购公房,底层 (共6层),55.88㎡,站前铁路小区,石景山城子,2018-09-30,一梯三户,毛坯,210
70年,非共有,80261,有,无抵押,已上传房本照片,普通住宅,满五年,西北,集中供暖,2018-05-10,3室2厅1厨2卫,平层,塔楼,2003年建/塔楼,商品房,低楼层 (共20层),144.28㎡,新起点嘉园,海淀万柳,2009-10-12,三梯八户,简装,1158
70年,非共有,58505,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-04-21,2室2厅1厨1卫,平层,板楼,2012年建/板楼,商品房,低楼层 (共21层),94.01㎡,鸿坤理想城礼域府,大兴西红门,2013-12-04,两梯四户,精装,550
70年,非共有,71244,有,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-04-30,2室2厅1厨2卫,平层,板楼,2008年建/板楼,商品房,中楼层 (共13层),112.15㎡,润枫水尚,朝阳朝青,2010-07-16,两梯三户,精装,799
70年,非共有,76559,有,无抵押,已上传房本照片,普通住宅,满五年,西,集中供暖,2018-04-04,2室2厅1厨2卫,复式,塔楼,1999年建/塔楼,私产,低楼层 (共28层),109.72㎡,恒昌花园,西城广安门,2003-05-21,四梯十八户,简装,840
70年,非共有,114101,有,无抵押,已上传房本照片,普通住宅,满两年,东 南,集中供暖,2018-04-25,3室1厅1厨1卫,平层,板楼,2001年建/板楼,已购公房,中楼层 (共11层),86.59㎡,车辇店胡同,东城安定门,2016-09-18,一梯四户,简装,988
70年,非共有,99258,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-04-20,2室1厅1厨1卫,平层,板塔结合,2008年建/板塔结合,商品房,低楼层 (共15层),107.8㎡,新景家园东区,东城崇文门,2010-10-14,两梯两户,简装,1070
70年,非共有,107254,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-04-03,2室1厅1厨1卫,平层,板楼,1982年建/板楼,央产房,中楼层 (共6层),55.01㎡,建研院,朝阳和平里,2004-11-29,一梯三户,精装,590
70年,非共有,59478,有,无抵押,已上传房本照片,普通住宅,满五年,南 东北,集中供暖,2018-03-31,2室1厅1厨1卫,平层,板楼,2004年建/板楼,商品房,中楼层 (共14层),103.4㎡,世纪东方城,朝阳欢乐谷,2012-04-27,两梯四户,简装,615
